u_y,u_x
-6.37843e-007,-1.50247e-006
0.462543,-0.235988
1.35511,-0.698291
2.19198,-1.14471
2.97368,-1.57616
3.70097,-1.99353
4.37488,-2.39764
4.99688,-2.78935
5.5689,-3.16955
6.09335,-3.53923
6.57305,-3.89943
7.01117,-4.25126
7.41113,-4.59583
7.77647,-4.93425
8.11077,-5.26754
8.41751,-5.59664
8.7,-5.92236
8.96129,-6.24534
9.20412,-6.566
9.43089,-6.8846
9.64363,-7.20114
9.84402,-7.51544
10.0334,-7.82713
10.2127,-8.13561
10.3828,-8.44017
10.544,-8.73991
10.6966,-9.03386
10.8408,-9.32093
10.9764,-9.6
11.1033,-9.86989
11.2214,-10.1294
11.3304,-10.3774
11.43,-10.6128
11.52,-10.8344
11.6002,-11.0413
11.6702,-11.2326
11.73,-11.4074
11.7793,-11.5651
11.8182,-11.705
11.8464,-11.8268
11.8641,-11.9302
11.8712,-12.015
11.8679,-12.0812
11.8542,-12.1289
11.8304,-12.1585
11.7967,-12.1703
11.7533,-12.1649
11.7006,-12.143
11.6388,-12.1052
11.5684,-12.0525
11.4898,-11.9858
11.4033,-11.9061
11.3094,-11.8144
11.2085,-11.7118
11.1012,-11.5993
10.9878,-11.4781
10.8689,-11.3492
10.7449,-11.2137
10.6164,-11.0725
10.4836,-10.9267
10.3472,-10.7771
10.2075,-10.6246
10.065,-10.4699
9.92003,-10.3139
9.77301,-10.1571
9.62428,-10.0001
9.47418,-9.84335
9.32302,-9.68736
9.17108,-9.53246
9.01861,-9.37895
8.86586,-9.22708
8.71303,-9.07702
8.56029,-8.9289
8.40782,-8.78283
8.25574,-8.63884
8.10418,-8.49694
7.95322,-8.35711
7.80295,-8.21931
7.65342,-8.08347
7.50467,-7.9495
7.35674,-7.8173
7.20963,-7.68675
7.06336,-7.55774
6.91791,-7.43015
6.77328,-7.30385
6.62943,-7.17872
6.48636,-7.05462
6.34401,-6.93145
6.20235,-6.80909
6.06136,-6.68742
5.92097,-6.56634
5.78116,-6.44577
5.64188,-6.3256
5.50309,-6.20576
5.36475,-6.08616
5.2268,-5.96676
5.08923,-5.84747
4.95198,-5.72826
4.81503,-5.60906
4.67833,-5.48985
4.54186,-5.37059
4.40559,-5.25124
4.26949,-5.13178
4.13354,-5.01219
3.99771,-4.89245
3.86198,-4.77255
3.72634,-4.65247
3.59077,-4.53222
3.45525,-4.41177
3.31976,-4.29114
3.18431,-4.1703
3.04887,-4.04928
2.91344,-3.92806
2.77801,-3.80664
2.64257,-3.68503
2.50712,-3.56323
2.37165,-3.44123
2.23615,-3.31905
2.10062,-3.19669
1.96506,-3.07414
1.82946,-2.9514
1.69382,-2.82849
1.55814,-2.7054
1.42241,-2.58213
1.28662,-2.45868
1.15079,-2.33505
1.01489,-2.21125
0.878932,-2.08726
0.742909,-1.96309
0.606818,-1.83874
0.470653,-1.7142
0.334412,-1.58948
0.198089,-1.46456
0.0616804,-1.33944
-0.0748185,-1.21413
-0.211413,-1.08861
-0.348108,-0.962887
-0.484909,-0.836946
-0.621821,-0.710785
-0.758851,-0.584397
-0.896004,-0.457777
-1.03329,-0.330917
-1.1707,-0.203811
-1.30826,-0.076452
-1.44597,0.0511689
-1.58383,0.179059
-1.72185,0.307227
-1.86004,0.435682
-1.9984,0.564432
-2.13694,0.693487
-2.27567,0.822856
-2.41458,0.95255
-2.55369,1.08258
-2.69301,1.21296
-2.83252,1.34369
-2.97225,1.47479
-3.11219,1.60628
-3.25234,1.73816
-3.39271,1.87045
-3.5333,2.00316
-3.6741,2.1363
-3.81513,2.2699
-3.95636,2.40397
-4.0978,2.53852
-4.23945,2.67357
-4.3813,2.80914
-4.52334,2.94524
-4.66556,3.0819
-4.80795,3.21914
-4.95049,3.35697
-5.09317,3.49542
-5.23598,3.6345
-5.3789,3.77424
-5.5219,3.91466
-5.66496,4.05578
-5.80806,4.19763
-5.95119,4.34022
-6.0943,4.48358
-6.23738,4.62773
-6.3804,4.77269
-6.52334,4.91847
-6.66618,5.0651
-6.80889,5.2126
-6.95147,5.36098
-7.0939,5.51026
-7.23617,5.66043
-7.37831,5.81152
-7.52031,5.96353
-7.66221,6.11646
-7.80406,6.2703
-7.94591,6.42504
-8.08787,6.58068
-8.23004,6.73719
-8.37256,6.89454
-8.51561,7.05271
-8.65941,7.21165
-8.80421,7.37131
-8.95032,7.53163
-9.0981,7.69255
-9.24796,7.85399
-9.40036,8.01587
-9.55585,8.17808
-9.71502,8.34051
-9.87852,8.50306
-10.0471,8.66557
-10.2214,8.82792
-10.4025,8.98993
-10.591,9.15146
-10.7879,9.3123
-10.994,9.47228
-11.2102,9.63119
-11.4372,9.78881
-11.6757,9.94492
-11.9263,10.0993
-12.1892,10.2516
-12.4645,10.4018
-12.7518,10.5494
-13.0505,10.6942
-13.3594,10.836
-13.6767,10.9744
-14,11.1093
-14.3263,11.2403
-14.6517,11.3673
-14.9717,11.4899
-15.2808,11.608
-15.5729,11.7216
-15.8412,11.8305
-16.0781,11.9348
-16.2757,12.0349
-16.4258,12.1313
-16.5201,12.2248
-16.5505,12.3166
-16.5094,12.4087
-16.39,12.5035
-16.1866,12.6045
-15.8948,12.7162
-15.5122,12.8445
-15.0379,12.9964
-14.4733,13.1809
-13.8216,13.4086
-13.0884,13.6917
-12.281,14.0441
-11.4088,14.4812
-10.4826,15.019
-9.51446,15.6737
-8.51738,16.4606
-7.50486,17.3929
-6.49049,18.4802
-5.4876,19.7267
-4.50886,21.1299
-3.56592,22.6791
-2.66919,24.3538
-1.82752,26.1246
-1.04803,27.9525
-0.335884,29.795
-4.44883e-007,31.6
